,spearman_r,spearman_p,pearson_r,pearson_p,n
unemployment,0.08531357097131724,0.20032769385871083,0.06259129660020446,0.3478603152849488,227.0
is_north_america,-0.05685414422727822,0.22007531444764764,-0.056854144227278254,0.2200753144476468,467.0
tertiary_enrollment,0.09387088402483991,0.22200418373970843,0.08653317322833534,0.26042771805341414,171.0
investment_pct_gdp,-0.05950634375584172,0.28781512124174713,-0.050757622497173624,0.3647060001443665,321.0
gdp_per_capita_rank,-0.053466317959878475,0.32137243376177793,-0.06749035297593493,0.21046841664418728,346.0
physicians_per_1000,0.060729118458013785,0.3498963595882956,0.05443875738093643,0.4021363384402853,239.0
literacy_rate,0.14300855814922786,0.3602698855376704,0.10024397652092171,0.5224405579780703,43.0
rd_spending_pct_gdp,0.07081410425709783,0.38756998276655247,0.040186661922705084,0.6241930792632523,151.0
govt_spending_pct_gdp,0.05542166148170423,0.38872537214755043,0.06125506855054748,0.3406830958262535,244.0
gdp_per_capita_vs_winner,0.046676306628076016,0.4009176880646328,-0.059026772449964,0.2879683123200697,326.0
fdi_pct_gdp,-0.043010698699441845,0.4432344663183409,-0.03964282846666441,0.47978078228839194,320.0
secondary_enrollment,0.056627863336634394,0.44641239758893886,0.0387139785705008,0.6028408707075572,183.0
pop_density,-0.03792626570408321,0.47814821905726446,-0.036313098839511795,0.4970777955307344,352.0
electricity_access_pct,0.04073141532177465,0.526576443198671,0.05625409213654356,0.38162953268772254,244.0
military_spending_pct_gdp,0.03453634676725916,0.5274941119113394,0.004436881136099429,0.9353241913546948,337.0
gdp_per_capita_vs_avg,0.03339065841987464,0.5358984500993667,0.009707163918794011,0.8572196813400439,346.0
gdp_growth,-0.02855966954210554,0.5965098615780117,-0.01049818112953893,0.8457247666291371,346.0
internet_users_pct,0.030683377094229254,0.6369426821193535,0.029419497731773915,0.6508887343295654,239.0
is_oceania,-0.014230846670604145,0.7590545577102447,-0.01423084667060416,0.7590545577102428,467.0
is_europe,-0.013444613341665546,0.7719883657440281,-0.013444613341665594,0.7719883657440257,467.0
infant_mortality,0.014331468767315315,0.7855271552157471,0.03877362234905587,0.46144726868502417,363.0
under5_mortality,0.013406822560752464,0.7990593058018888,0.021889329364750836,0.6776594378662569,363.0
edu_spending_pct_gdp,-0.017394150396172158,0.8012077602725273,-0.0633023472079371,0.3590551343187466,212.0
gini_index,0.008754736583722382,0.9095188017789789,0.006209053394467317,0.9357607378836046,171.0
life_expectancy,-0.0029509296052729873,0.9548874745126916,0.0029178475529693907,0.9553926904358105,370.0
gdp_per_capita_log,-0.0024154944388845483,0.9642920195321397,-0.015608644745003635,0.7723483339294505,346.0
gdp_per_capita,-0.0024154944388845483,0.9642920195321397,-0.0044258584289490945,0.9346242789963036,346.0
inflation,-0.0022670372580723295,0.9675253530333704,0.15899054028055898,0.004059527913444041,325.0
population_growth,-0.0016679167334151665,0.9744923995457805,-0.005534698878386849,0.9155009151946267,370.0
