year,team,win_prob,is_winner
2014,Iran,0.002,0
2014,Japan,0.002,0
2014,Costa Rica,0.001,0
2014,Ecuador,0.001,0
2014,Honduras,0.001,0
2014,Ivory Coast,0.001,0
2014,Algeria,0.0,0
2014,South Korea,0.0,0
2018,Spain,0.197,0
2018,Brazil,0.192,0
2018,Argentina,0.112,0
2018,Germany,0.098,0
2018,England,0.082,0
2018,Portugal,0.058,0
2018,France,0.056,1
2018,Colombia,0.051,0
2018,Peru,0.043,0
2018,Switzerland,0.022,0
2018,Belgium,0.021,0
2018,Denmark,0.011,0
2018,Poland,0.011,0
2018,Uruguay,0.011,0
2018,Mexico,0.009,0
2018,Russia,0.005,0
2018,Senegal,0.004,0
2018,Egypt,0.003,0
2018,Serbia,0.003,0
2018,Iran,0.002,0
2018,Morocco,0.002,0
2018,Sweden,0.002,0
2018,Costa Rica,0.001,0
2018,Croatia,0.001,0
2018,Iceland,0.001,0
2018,South Korea,0.001,0
2018,Tunisia,0.001,0
2018,Australia,0.0,0
2018,Japan,0.0,0
2018,Nigeria,0.0,0
2018,Panama,0.0,0
2018,Saudi Arabia,0.0,0
2022,Argentina,0.349,1
2022,Brazil,0.195,0
2022,Spain,0.149,0
2022,Portugal,0.083,0
2022,Denmark,0.049,0
2022,Netherlands,0.034,0
2022,Germany,0.029,0
2022,Belgium,0.023,0
2022,France,0.017,0
2022,England,0.012,0
2022,Uruguay,0.012,0
2022,Switzerland,0.009,0
2022,Croatia,0.008,0
2022,Serbia,0.008,0
2022,Ecuador,0.007,0
2022,Iran,0.005,0
2022,Canada,0.002,0
2022,Mexico,0.002,0
2022,Qatar,0.002,0
2022,Wales,0.002,0
2022,Poland,0.001,0
2022,South Korea,0.001,0
2022,United States,0.001,0
2022,Australia,0.0,0
2022,Cameroon,0.0,0
2022,Costa Rica,0.0,0
2022,Ghana,0.0,0
2022,Japan,0.0,0
2022,Morocco,0.0,0
2022,Saudi Arabia,0.0,0
2022,Senegal,0.0,0
2022,Tunisia,0.0,0
