team,year,total_squad_value_eur,avg_player_value_eur,num_players,source
Canada,2026,198649994,7640384,26,transfermarkt_national_teams_current
Mexico,2026,191850006,7378846,26,transfermarkt_national_teams_current
DR Congo,2026,180500000,6942308,26,transfermarkt_player_current_values
Scotland,2026,170250000,6548077,26,transfermarkt_national_teams_current
Paraguay,2026,153649994,5909615,26,transfermarkt_national_teams_current
South Korea,2026,151900000,5842308,26,transfermarkt_player_current_values
Republic of Ireland,2026,146850006,5438889,27,transfermarkt_national_teams_current
Bosnia and Herzegovina,2026,146399994,5630769,26,transfermarkt_national_teams_current
Egypt,2026,116480003,4480000,26,transfermarkt_national_teams_current
Uzbekistan,2026,85129997,3274231,26,transfermarkt_national_teams_current
Australia,2026,77449997,2978846,26,transfermarkt_national_teams_current
Cape Verde,2026,75600000,2907692,26,transfermarkt_player_current_values
Tunisia,2026,69949997,2690384,26,transfermarkt_national_teams_current
Israel,2026,68099998,2960869,23,transfermarkt_national_teams_current
Haiti,2026,56200000,2161538,26,transfermarkt_player_current_values
Saudi Arabia,2026,40680000,1564615,26,transfermarkt_national_teams_current
Panama,2026,34549999,1328846,26,transfermarkt_national_teams_current
New Zealand,2026,34299999,1319231,26,transfermarkt_national_teams_current
Iran,2026,32049999,1232692,26,transfermarkt_national_teams_current
Jordan,2026,20299999,780769,26,transfermarkt_national_teams_current
Qatar,2026,19930000,766538,26,transfermarkt_national_teams_current
South Africa,2010,45000000,1700000,26,estimated
Bolivia,2014,15000000,580000,26,estimated
Curaçao,2026,5000000,190000,26,estimated
Iraq,2026,12000000,460000,26,estimated
Angola,2006,20000000,770000,26,estimated
Bulgaria,1998,30000000,1150000,26,estimated
China,2002,15000000,580000,26,estimated
Cuba,1938,1000000,40000,26,estimated
Czechoslovakia,1990,25000000,960000,26,estimated
El Salvador,1982,3000000,115000,26,estimated
German DR,1974,5000000,190000,26,estimated
Hungary,1986,15000000,580000,26,estimated
Indonesia,1938,1000000,40000,26,estimated
Jamaica,1998,8000000,310000,26,estimated
Kuwait,1982,3000000,115000,26,estimated
North Korea,2010,5000000,190000,26,estimated
Northern Ireland,1986,10000000,385000,26,estimated
Romania,1998,40000000,1500000,26,estimated
Slovakia,2010,25000000,960000,26,estimated
Slovenia,2010,20000000,770000,26,estimated
Togo,2006,10000000,385000,26,estimated
Trinidad and Tobago,2006,8000000,310000,26,estimated
Ukraine,2006,80000000,3100000,26,estimated
United Arab Emirates,1990,5000000,190000,26,estimated
Yugoslavia,1998,35000000,1350000,26,estimated
